n,t
10,5
11,6
12,6
13,7
14,6
15,8
16,9
17,9
18,8
19,10
20,10
21,10
22,13
23,15
24,12
25,12
26,13
27,14
28,14
29,14
30,15
31,19
32,19
33,19
34,21
35,21
36,22
37,23
38,23
39,23
40,23
41,20
42,22
43,21
44,22
45,24
46,23
47,24
48,25
49,25
50,26
51,26
52,26
53,27
54,29
55,28
56,28
57,29
58,30
59,31
60,30
61,30
62,35
63,36
64,35
65,36
66,36
67,37
68,37
69,39
70,37
71,40
72,39
73,42
74,42
75,41
76,41
77,42
78,42
79,45
80,43
81,44
82,45
83,45
84,46
85,47
86,45
87,47
88,49
89,48
90,48
91,50
92,50
93,51
94,51
95,51
96,53
97,54
98,53
99,54
100,55
101,57
102,55
103,56
104,56
105,62
106,65
107,63
108,63
109,65
110,65
111,64
112,67
113,66
114,65
115,62
116,64
117,61
118,64
119,66
120,63
121,64
122,66
123,70
124,70
125,70
126,70
127,72
128,71
129,73
130,74
131,73
132,73
133,74
134,73
135,76
136,76
137,76
138,77
139,79
140,77
141,78
142,77
143,77
144,79
145,80
146,83
147,82
148,84
149,87
150,84
151,85
152,86
153,92
154,95
155,92
156,91
157,91
158,89
159,90
160,95
161,91
162,90
163,93
164,93
165,94
166,94
167,99
168,92
169,93
170,94
171,93
172,96
173,93
174,109
175,93
176,97
177,97
178,100
179,96
180,100
181,98
182,100
183,101
184,104
185,103
186,108
187,108
188,106
189,109
190,108
191,111
192,106
193,109
194,109
195,109
196,113
197,110
198,111
199,113
200,113
201,111
202,113
203,114
204,114
205,115
206,115
207,115
208,117
209,118
210,118
211,119
212,119
213,120
214,120
215,119
216,121
217,121
218,125
219,121
220,125
221,124
222,126
223,125
224,125
225,125
226,128
227,127
228,126
229,128
230,128
231,126
232,129
233,130
234,131
235,129
236,162
237,146
238,139
239,135
240,138
241,136
242,138
243,139
244,138
245,139
246,144
247,139
248,142
249,143
250,139
251,139
252,143
253,142
254,142
255,147
256,145
257,143
258,144
259,145
