n,t
10,5
11,6
12,6
13,6
14,7
15,8
16,8
17,8
18,9
19,10
20,9
21,11
22,10
23,12
24,12
25,12
26,13
27,13
28,13
29,14
30,15
31,18
32,19
33,19
34,21
35,20
36,21
37,22
38,22
39,22
40,27
41,20
42,21
43,21
44,23
45,29
46,23
47,23
48,24
49,24
50,24
51,26
52,26
53,26
54,27
55,27
56,28
57,29
58,31
59,28
60,30
61,32
62,41
63,34
64,34
65,35
66,35
67,39
68,37
69,37
70,47
71,38
72,44
73,39
74,39
75,40
76,40
77,43
78,43
79,42
80,43
81,43
82,44
83,45
84,45
85,44
86,45
87,52
88,54
89,46
90,47
91,50
92,55
93,60
94,60
95,50
96,50
97,53
98,53
99,52
100,53
101,53
102,54
103,55
104,54
105,63
106,68
107,63
108,71
109,68
110,67
111,73
112,64
113,70
114,64
115,59
116,60
117,60
118,69
119,61
120,74
121,63
122,70
123,66
124,68
125,68
126,67
127,68
128,73
129,73
130,72
131,80
132,79
133,71
134,72
135,72
136,72
137,82
138,74
139,78
140,77
141,75
142,77
143,76
144,78
145,77
146,78
147,80
148,82
149,80
150,81
151,85
152,82
153,86
154,115
155,89
156,86
157,88
158,86
159,87
160,86
161,87
162,88
163,88
164,88
165,90
166,90
167,90
168,88
169,89
170,89
171,89
172,90
173,90
174,91
175,91
176,93
177,92
178,92
179,92
180,94
181,95
182,94
183,94
184,98
185,99
186,100
187,100
188,100
189,101
190,101
191,102
192,101
193,104
194,104
195,104
196,105
197,105
198,106
199,105
200,106
201,107
202,106
203,108
204,109
205,108
206,110
207,109
208,110
209,112
210,111
211,112
212,112
213,113
214,112
215,114
216,114
217,115
218,115
219,115
220,117
221,116
222,118
223,118
224,119
225,118
226,120
227,119
228,120
229,120
230,122
231,122
232,123
233,123
234,123
235,124
236,123
237,130
238,130
239,130
240,134
241,130
242,132
243,133
244,133
245,134
246,134
247,133
248,134
249,133
250,134
251,134
252,134
253,135
254,136
255,138
256,136
257,137
258,136
259,138
