n,t
10,2
11,2
12,2
13,3
14,2
15,2
16,3
17,3
18,3
19,4
20,4
21,4
22,5
23,5
24,5
25,5
26,6
27,6
28,7
29,7
30,7
31,7
32,7
33,8
34,8
35,9
36,9
37,9
38,10
39,9
40,10
41,11
42,11
43,12
44,13
45,12
46,13
47,13
48,14
49,14
50,15
51,15
52,16
53,17
54,15
55,18
56,21
57,20
58,19
59,19
60,21
61,19
62,21
63,21
64,20
65,23
66,23
67,22
68,25
69,23
70,24
71,26
72,27
73,25
74,29
75,26
76,28
77,29
78,29
79,29
80,31
81,29
82,30
83,35
84,33
85,34
86,36
87,34
88,38
89,37
90,37
91,38
92,39
93,38
94,42
95,47
96,44
97,42
98,44
99,43
100,44
101,50
102,44
103,45
104,53
105,50
106,50
107,56
108,48
109,49
110,52
111,50
112,52
113,55
114,54
115,55
116,60
117,64
118,60
119,68
120,59
121,59
122,60
123,59
124,62
125,63
126,61
127,66
128,72
129,69
130,67
131,70
132,68
133,74
134,77
135,81
136,76
137,82
138,76
139,88
140,84
141,82
142,78
143,84
144,79
145,80
146,87
147,84
148,84
149,88
150,91
151,92
152,90
153,93
154,94
155,90
156,101
157,92
158,96
159,97
160,101
161,100
162,104
163,96
164,105
165,101
166,107
167,111
168,103
169,113
170,116
171,106
172,112
173,114
174,113
175,117
176,121
177,126
178,122
179,123
180,121
181,127
182,121
183,123
184,127
185,126
186,133
187,130
188,130
189,125
190,135
191,136
192,131
193,128
194,134
195,138
196,145
197,158
198,172
199,148
200,140
201,147
202,145
203,145
204,145
205,146
206,145
207,146
208,148
209,157
210,152
211,156
212,157
213,154
214,156
215,160
216,161
217,161
218,166
219,164
220,167
221,172
222,169
223,169
224,174
225,174
226,177
227,177
228,177
229,178
230,185
231,181
232,183
233,184
234,186
235,185
236,189
237,191
238,193
239,194
240,195
241,195
242,200
243,198
244,199
245,202
246,206
247,205
248,208
249,206
250,210
251,208
252,210
253,212
254,217
255,218
256,224
257,225
258,228
259,230
260,231
261,232
262,234
263,246
264,236
265,241
266,240
267,242
268,242
269,252
270,245
271,252
272,245
273,242
274,243
275,248
276,257
277,248
278,252
