t (s),V (mV)
0,22.6542
1.049,22.5926
2.1,22.5416
3.15,22.4772
4.192,22.4195
5.192,22.3647
6.192,22.3109
7.192,22.2567
8.192,22.2015
9.191,22.1492
10.191,22.0954
11.191,22.0425
12.191,21.9893
13.191,21.9382
14.191,21.886
15.191,21.8334
16.191,21.7812
17.192,21.7283
18.192,21.6769
19.192,21.6268
20.192,21.5764
21.192,21.5257
22.191,21.4757
23.192,21.4247
24.192,21.3735
25.192,21.3245
26.192,21.2745
27.191,21.2239
28.192,21.1741
29.192,21.1241
30.192,21.0746
31.191,21.025
32.191,20.9751
33.192,20.9261
34.192,20.8757
35.192,20.8275
36.192,20.778
37.192,20.7284
38.192,20.6803
39.191,20.6299
40.191,20.5821
41.191,20.5339
42.192,20.4862
43.192,20.4402
44.191,20.3904
45.191,20.3428
46.191,20.2957
47.191,20.2488
48.191,20.2009
49.191,20.1549
50.191,20.1082
51.192,20.0633
52.191,20.0158
53.191,19.9695
54.192,19.9259
55.191,19.8775
56.191,19.8319
57.191,19.785
58.191,19.7393
59.191,19.6933
60.191,19.6484
61.192,19.6033
62.192,19.5578
63.191,19.5126
64.191,19.4665
65.192,19.4227
66.192,19.3768
67.192,19.3326
68.192,19.2887
69.192,19.2445
70.192,19.2
71.191,19.1557
72.191,19.1122
73.192,19.0678
74.191,19.0243
75.192,18.9813
76.191,18.9384
77.191,18.8952
78.191,18.8522
79.191,18.8099
80.192,18.7668
81.192,18.724
82.191,18.6829
83.191,18.6398
84.191,18.5981
85.191,18.5565
86.192,18.5139
87.191,18.4721
88.191,18.4306
89.191,18.3896
90.191,18.3481
91.191,18.3058
92.191,18.2645
93.191,18.2233
94.191,18.1821
95.191,18.14
96.191,18.0981
97.191,18.0573
98.191,18.0158
99.191,17.9761
100.191,17.9348
101.191,17.894
102.192,17.853
103.191,17.8109
104.191,17.7713
105.191,17.7293
106.191,17.69
107.191,17.6493
108.191,17.6092
109.191,17.5689
110.192,17.5304
111.192,17.4919
112.192,17.4519
113.191,17.4125
114.192,17.3742
115.191,17.3344
116.191,17.2956
117.191,17.2562
118.191,17.2169
119.192,17.1794
120.191,17.1392
121.191,17.1007
122.192,17.0621
123.191,17.0218
124.191,16.9841
125.192,16.9468
126.192,16.9071
127.192,16.8695
128.192,16.8304
129.192,16.793
130.192,16.7533
131.192,16.7166
132.191,16.6787
133.191,16.6412
134.191,16.6038
135.191,16.567
136.191,16.5301
137.192,16.4931
138.191,16.4556
139.191,16.4191
140.191,16.3823
141.191,16.3461
142.191,16.3101
143.191,16.2728
144.192,16.2385
145.192,16.2017
146.191,16.1659
147.191,16.1294
148.192,16.0943
149.192,16.0586
150.192,16.0225
151.191,15.9874
152.191,15.9514
153.191,15.9163
154.191,15.88
155.191,15.8448
156.192,15.8093
157.191,15.7733
158.191,15.7382
159.191,15.704
160.191,15.6688
161.191,15.6334
162.192,15.5994
163.191,15.5658
164.191,15.531
165.192,15.4966
166.192,15.4624
167.191,15.4294
168.192,15.395
169.192,15.3598
170.191,15.3258
171.192,15.292
172.192,15.2576
173.192,15.2233
174.192,15.1895
175.192,15.1523
176.192,15.1091
177.192,15.0825
178.192,15.0517
179.192,15.0193
180.192,14.9868
181.192,14.9539
182.191,14.9215
183.192,14.8892
184.191,14.8552
185.192,14.8239
186.192,14.7918
187.191,14.7585
188.192,14.7258
189.191,14.6927
190.191,14.6606
191.191,14.6275
192.191,14.5943
193.192,14.5622
194.191,14.5301
195.191,14.4974
196.191,14.4655
197.191,14.4334
198.191,14.4016
199.191,14.3707
200.191,14.338
201.192,14.3063
202.192,14.2745
203.192,14.2431
204.192,14.2115
205.191,14.1805
206.191,14.1489
207.191,14.1174
208.191,14.0862
209.191,14.0547
210.191,14.0229
211.191,13.9927
212.192,13.9611
213.191,13.9326
214.191,13.902
215.191,13.8713
216.191,13.8418
217.191,13.8132
218.191,13.7828
219.191,13.7529
220.191,13.7229
221.191,13.693
222.192,13.6636
223.191,13.634
224.191,13.6049
225.192,13.5744
226.192,13.544
227.192,13.5152
228.192,13.4854
229.192,13.4561
230.192,13.4258
231.192,13.3964
232.191,13.3664
233.191,13.3364
234.191,13.3072
235.191,13.2785
236.191,13.2491
237.191,13.2193
238.191,13.1889
239.192,13.1597
240.192,13.1308
241.191,13.1025
242.192,13.074
243.192,13.0459
244.192,13.0161
245.192,12.9878
246.192,12.9602
247.192,12.9312
248.192,12.9028
249.191,12.8744
250.191,12.8451
251.191,12.817
252.191,12.7883
253.192,12.76
254.192,12.7315
255.192,12.7032
256.192,12.6753
257.192,12.6486
258.192,12.62
259.192,12.5924
260.192,12.5645
261.192,12.5372
262.192,12.5086
263.191,12.4809
264.191,12.4533
265.191,12.4262
266.192,12.399
267.192,12.3711
268.192,12.3442
269.192,12.3165
270.192,12.2896
271.192,12.2625
272.192,12.2343
273.192,12.2076
274.192,12.1799
275.192,12.1532
276.192,12.1239
277.192,12.0972
278.191,12.0705
279.192,12.0434
280.192,12.0152
281.192,11.9881
282.192,11.9619
283.192,11.9363
284.192,11.9087
285.192,11.8835
286.192,11.8559
287.192,11.8303
288.192,11.8041
289.191,11.778
290.191,11.7527
291.192,11.7263
292.192,11.701
293.192,11.6746
294.192,11.6491
295.191,11.6241
296.192,11.5988
297.192,11.5731
298.192,11.547
299.192,11.5217
300.192,11.4968
301.192,11.4724
