T,U
0,24.143
0.966,24.1063
1.939,24.058
2.939,24.0111
3.939,23.9637
4.939,23.9155
5.939,23.8665
6.938,23.8171
7.939,23.767
8.939,23.7187
9.939,23.6692
10.939,23.6204
11.938,23.572
12.938,23.5237
13.939,23.4777
14.938,23.4285
15.938,23.3818
16.938,23.334
17.938,23.2859
18.939,23.2392
19.938,23.1913
20.939,23.1462
21.939,23.0994
22.939,23.0538
23.938,23.0062
24.939,22.9606
25.938,22.9141
26.939,22.8693
27.939,22.8221
28.938,22.777
29.938,22.7313
30.938,22.6854
31.939,22.6419
32.939,22.5952
33.939,22.5505
34.938,22.5038
35.939,22.4586
36.938,22.4128
37.938,22.37
38.938,22.3245
39.938,22.2804
40.938,22.2368
41.939,22.1935
42.939,22.1476
43.939,22.1049
44.938,22.0584
45.938,22.0143
46.938,21.9711
47.939,21.9285
48.939,21.8842
49.939,21.8416
50.938,21.7975
51.939,21.7549
52.939,21.7086
53.939,21.6682
54.938,21.622
55.938,21.5804
56.938,21.5377
57.94,21.5
58.938,21.4521
59.938,21.4107
60.938,21.3689
61.938,21.3264
62.938,21.2838
63.939,21.2427
64.939,21.2013
65.939,21.1605
66.939,21.1181
67.939,21.0757
68.938,21.0354
69.938,20.9947
70.939,20.954
71.938,20.9137
72.938,20.8719
73.938,20.8323
74.938,20.7917
75.938,20.7509
76.938,20.7102
77.939,20.6711
78.939,20.6303
79.939,20.5911
80.938,20.5508
81.939,20.5114
82.938,20.4706
83.938,20.4309
84.938,20.3914
85.938,20.3518
86.938,20.3118
87.938,20.2719
88.938,20.2327
89.938,20.1917
90.938,20.1523
91.938,20.1121
92.938,20.0736
93.938,20.0325
94.938,19.9939
95.938,19.9539
96.938,19.9158
97.938,19.8761
98.938,19.8368
99.938,19.7979
100.938,19.7595
101.939,19.719
102.939,19.6806
103.939,19.6409
104.939,19.6023
105.939,19.5644
106.939,19.5272
107.939,19.4885
108.939,19.4501
109.939,19.4105
110.938,19.3742
111.939,19.334
112.939,19.2964
113.939,19.2584
114.938,19.222
115.939,19.1829
116.938,19.1461
117.939,19.1093
118.941,19.0691
119.939,19.0331
120.939,18.9967
121.938,18.9593
122.938,18.9226
123.939,18.8851
124.939,18.8481
125.939,18.8118
126.939,18.7756
127.939,18.7405
128.939,18.7023
129.939,18.6664
130.939,18.6336
131.939,18.5976
132.939,18.5633
133.939,18.5273
134.939,18.4935
135.939,18.459
136.939,18.4213
137.939,18.3863
138.938,18.3528
139.938,18.3176
140.939,18.2808
141.939,18.2484
142.939,18.2121
143.938,18.1787
144.938,18.143
145.939,18.1066
146.939,18.0724
147.939,18.0371
148.939,18.0011
149.939,17.9696
150.939,17.9338
151.938,17.9007
152.938,17.8656
153.939,17.8311
154.939,17.7959
155.938,17.7623
156.938,17.7276
157.939,17.6934
158.939,17.6598
159.939,17.6253
160.938,17.5915
161.939,17.557
162.939,17.523
163.939,17.4901
164.939,17.4561
165.939,17.4432
166.938,17.3949
167.939,17.3557
168.939,17.3196
169.939,17.2861
170.939,17.2512
171.939,17.2218
172.939,17.1894
173.939,17.1566
174.938,17.1258
175.939,17.0874
176.939,17.0554
177.939,17.0229
178.939,16.9916
179.939,16.957
180.939,16.9263
181.939,16.8931
182.938,16.8593
183.939,16.8253
184.939,16.7943
185.939,16.7592
186.939,16.7273
187.939,16.6964
188.938,16.6641
189.939,16.6304
190.939,16.5986
191.938,16.5668
192.938,16.5345
193.939,16.5024
194.938,16.4703
195.939,16.4381
196.938,16.4064
197.939,16.3732
198.939,16.3412
199.939,16.3107
200.939,16.279
201.939,16.2476
202.939,16.2163
203.939,16.1842
204.939,16.1539
205.938,16.1221
206.938,16.0897
