t (s),V (mV)
0,20.2268
0.967,20.2064
1.9,20.1987
2.867,20.1771
3.805,20.1656
4.804,20.1498
5.804,20.1321
6.804,20.115
7.803,20.099
8.804,20.0823
9.804,20.0654
10.804,20.0496
11.804,20.0338
12.803,20.0182
13.803,20.0033
14.803,19.9884
15.804,19.9731
16.804,19.9577
17.804,19.944
18.804,19.928
19.803,19.9127
20.803,19.8989
21.803,19.886
22.803,19.8685
23.803,19.8579
24.803,19.8424
25.803,19.8262
26.803,19.8121
27.803,19.7971
28.804,19.7829
29.804,19.7687
30.803,19.7543
31.804,19.7397
32.804,19.7254
33.804,19.7113
34.804,19.6971
35.804,19.6824
36.804,19.6679
37.804,19.6535
38.803,19.6387
39.803,19.6248
40.803,19.6117
41.804,19.5991
42.803,19.5851
43.803,19.5718
44.804,19.5592
45.803,19.5451
46.803,19.5313
47.803,19.519
48.804,19.5056
49.804,19.4929
50.804,19.4794
51.804,19.4669
52.804,19.453
53.803,19.4415
54.803,19.429
55.803,19.4154
56.803,19.4029
57.804,19.3892
58.804,19.3776
59.804,19.3654
60.803,19.3538
61.803,19.3412
62.804,19.328
63.804,19.3157
64.804,19.3051
65.803,19.2929
66.803,19.2807
67.804,19.2668
68.804,19.2548
69.803,19.2436
70.803,19.2302
71.803,19.218
72.803,19.2062
73.804,19.1924
74.804,19.1798
75.804,19.1668
76.803,19.156
77.803,19.1432
78.803,19.1309
79.803,19.1186
80.804,19.1036
81.804,19.0923
82.804,19.0792
83.803,19.0678
84.803,19.0549
85.803,19.0426
86.803,19.0303
87.803,19.0171
88.803,19.005
89.803,18.9931
90.804,18.9789
91.804,18.9689
92.803,18.9552
93.803,18.9427
94.803,18.9291
95.803,18.9178
96.803,18.9058
97.803,18.895
98.803,18.8823
99.803,18.871
100.803,18.8595
101.804,18.8481
102.803,18.8365
103.803,18.8242
104.804,18.8122
105.804,18.8002
106.804,18.789
107.803,18.7763
108.804,18.7659
109.804,18.7532
110.803,18.7424
111.804,18.7301
112.804,18.7193
113.804,18.7071
114.803,18.6965
115.804,18.6838
116.804,18.6727
117.803,18.6621
118.803,18.6499
119.803,18.6382
120.803,18.6262
121.803,18.6143
122.803,18.6041
123.803,18.5932
124.803,18.5802
125.804,18.5686
126.804,18.5569
127.804,18.5448
128.803,18.5337
129.803,18.522
130.804,18.5102
131.804,18.4986
132.804,18.488
133.803,18.4767
134.804,18.4628
135.804,18.4546
136.804,18.4414
137.804,18.4301
138.803,18.4213
139.804,18.4099
140.804,18.3989
141.804,18.3877
142.803,18.3781
143.804,18.3649
144.804,18.3549
145.803,18.3463
146.804,18.3326
147.804,18.3236
148.804,18.3129
149.804,18.3008
150.804,18.2902
151.804,18.28
152.803,18.2688
153.804,18.2552
154.804,18.245
155.803,18.2325
156.804,18.2213
157.804,18.2086
158.804,18.1987
159.804,18.1869
160.804,18.1761
161.804,18.1637
162.804,18.1547
163.804,18.1422
164.804,18.1322
165.804,18.1177
166.804,18.1107
167.804,18.0985
168.804,18.0882
169.803,18.0769
170.804,18.0676
171.804,18.0553
172.804,18.0452
173.804,18.0344
174.804,18.0246
175.804,18.0146
176.804,18.0047
177.803,17.9942
178.803,17.9821
179.804,17.973
180.804,17.9618
181.804,17.9506
182.803,17.9407
183.804,17.9287
184.804,17.918
185.804,17.9071
186.804,17.8956
187.803,17.8845
188.803,17.8747
189.804,17.8633
190.804,17.8523
191.803,17.8407
192.803,17.831
193.803,17.819
194.804,17.8084
195.804,17.7968
196.804,17.7852
197.804,17.7749
198.803,17.7636
199.804,17.7524
200.803,17.7414
201.803,17.7301
202.803,17.7189
203.804,17.7075
204.804,17.6961
205.803,17.6832
206.803,17.6714
207.803,17.6617
208.804,17.6522
209.804,17.6406
210.804,17.6299
211.804,17.6196
212.803,17.6068
213.804,17.5962
214.804,17.5847
215.803,17.5745
216.803,17.5637
217.803,17.5534
218.804,17.5435
219.803,17.532
220.804,17.5222
221.803,17.5093
222.804,17.5012
223.804,17.4894
224.804,17.4787
225.804,17.47
226.803,17.458
227.804,17.4496
228.803,17.4375
229.803,17.4269
230.803,17.4174
231.804,17.4069
232.803,17.3966
233.804,17.386
234.804,17.3773
235.804,17.3675
236.804,17.3574
237.804,17.348
238.804,17.3375
239.804,17.3281
240.804,17.3181
241.803,17.3086
242.803,17.298
243.803,17.2876
244.804,17.2781
245.804,17.2687
246.803,17.2578
247.804,17.2478
248.803,17.2377
249.804,17.2289
250.804,17.2181
251.803,17.2069
252.804,17.1959
253.804,17.1849
254.804,17.1755
255.803,17.1654
256.804,17.1543
257.804,17.1436
258.804,17.1354
259.803,17.1239
260.804,17.1121
261.804,17.1028
262.804,17.094
263.804,17.0833
264.803,17.0732
265.804,17.0606
266.804,17.0496
267.804,17.0404
268.803,17.0299
269.804,17.0176
270.804,17.0079
271.804,16.999
272.804,16.9884
273.803,16.9804
274.804,16.9697
275.804,16.9603
276.804,16.9502
277.803,16.9411
278.804,16.9317
279.804,16.9214
280.804,16.9128
281.804,16.9027
282.803,16.8935
283.804,16.8832
284.804,16.8737
285.804,16.8648
286.804,16.8574
287.803,16.8471
288.804,16.8371
289.804,16.8269
290.804,16.8178
291.804,16.8076
292.804,16.7974
293.803,16.7875
294.804,16.7776
295.804,16.767
296.804,16.757
297.804,16.7466
298.804,16.7367
299.803,16.7278
300.804,16.7162
301.803,16.704
302.803,16.693
303.804,16.6849
304.804,16.673
305.804,16.6638
306.803,16.6529
307.804,16.6416
308.804,16.6294
309.803,16.6206
310.804,16.6104
311.804,16.5997
312.804,16.5894
313.804,16.5805
314.804,16.5706
315.804,16.5614
316.804,16.5514
317.804,16.5414
318.804,16.5325
319.804,16.5238
320.804,16.513
321.804,16.5031
322.804,16.493
323.803,16.4828
324.804,16.4738
325.804,16.4636
326.803,16.4538
327.804,16.4439
328.804,16.434
329.804,16.424
330.804,16.4149
331.803,16.4051
332.804,16.3954
333.804,16.3851
334.804,16.3763
335.803,16.367
336.804,16.3567
337.804,16.3468
338.804,16.3355
339.804,16.3243
340.804,16.3138
341.804,16.3059
342.804,16.2941
343.804,16.2817
344.803,16.2731
345.804,16.2653
346.804,16.2536
347.804,16.2454
348.804,16.2341
349.804,16.2259
350.804,16.216
351.804,16.2065
352.804,16.1962
353.804,16.1881
354.804,16.1777
355.804,16.1684
356.804,16.1588
357.804,16.1486
358.804,16.1384
359.804,16.129
360.803,16.1192
361.804,16.1087
362.804,16.0998
363.804,16.0892
364.804,16.0798
365.804,16.0699
366.804,16.0616
367.803,16.053
368.804,16.0422
369.804,16.0331
370.804,16.0228
371.804,16.0129
372.803,16.0032
373.804,15.9952
374.803,15.984
375.804,15.9754
376.803,15.9653
377.803,15.9556
378.803,15.9453
379.803,15.9362
380.804,15.9266
381.804,15.9158
382.804,15.9061
383.804,15.8958
384.803,15.8867
385.804,15.8765
386.804,15.8688
387.803,15.8601
388.804,15.8487
389.804,15.8385
390.804,15.8297
391.804,15.8196
392.803,15.8088
393.803,15.8007
394.804,15.7928
395.803,15.7825
396.803,15.7733
397.804,15.7654
398.804,15.7566
399.803,15.7476
400.804,15.7395
401.804,15.7307
402.804,15.7208
403.803,15.7134
404.804,15.7066
405.804,15.6976
406.804,15.6895
407.803,15.6777
408.804,15.6715
409.804,15.662
410.803,15.6527
411.804,15.6451
412.804,15.6353
413.804,15.627
414.804,15.6185
415.804,15.6091
416.804,15.6004
417.804,15.5917
418.804,15.5828
419.804,15.574
420.803,15.5647
421.804,15.5554
422.804,15.5472
423.804,15.5387
424.804,15.527
425.803,15.511
426.804,15.5128
427.804,15.5003
428.803,15.4922
429.804,15.481
430.804,15.473
431.803,15.4642
432.803,15.4559
433.804,15.4452
434.804,15.4367
435.804,15.4293
436.804,15.4201
437.804,15.41
438.804,15.4001
439.804,15.3919
440.804,15.3828
441.803,15.373
442.803,15.363
443.804,15.3549
444.803,15.3456
445.804,15.3357
446.804,15.3267
447.804,15.3174
448.803,15.309
449.804,15.3007
450.804,15.2915
451.803,15.2822
452.804,15.2731
453.804,15.2635
454.803,15.2481
455.804,15.2399
456.804,15.2419
457.804,15.2324
458.804,15.2191
459.804,15.21
460.803,15.1999
461.804,15.1913
462.804,15.1811
463.803,15.1712
464.803,15.1614
465.803,15.1546
466.804,15.1447
467.804,15.1359
468.803,15.1252
469.804,15.1172
470.804,15.1079
471.804,15.0958
472.804,15.0885
473.804,15.0791
474.804,15.0693
475.804,15.059
476.804,15.0512
477.803,15.0418
478.804,15.0328
479.804,15.024
480.803,15.0149
481.804,15.0055
482.804,14.9964
483.804,14.9861
484.804,14.9784
485.804,14.9697
486.804,14.9608
487.804,14.9525
488.803,14.9432
489.804,14.9346
490.804,14.9259
491.803,14.9168
492.803,14.9085
493.804,14.8992
494.804,14.8926
495.803,14.8841
496.804,14.876
497.804,14.8679
498.804,14.8593
499.803,14.8514
500.804,14.8423
501.804,14.834
502.804,14.8271
503.804,14.8197
504.804,14.8106
505.804,14.8027
506.804,14.7935
507.804,14.7853
508.804,14.7771
509.803,14.7685
510.804,14.7602
511.804,14.7508
512.803,14.7428
513.803,14.7314
514.803,14.7253
515.803,14.717
516.804,14.7112
517.804,14.7013
518.804,14.6911
519.804,14.6845
520.804,14.6751
521.804,14.6663
522.803,14.6588
523.803,14.6505
524.804,14.6448
525.804,14.6352
526.804,14.6268
527.804,14.6186
528.803,14.6098
529.804,14.6019
530.804,14.5925
531.804,14.5847
532.804,14.5767
533.804,14.5696
534.804,14.5605
535.804,14.5528
536.804,14.5441
537.803,14.5353
538.804,14.527
539.804,14.5185
540.804,14.5095
541.803,14.5015
542.804,14.4916
543.804,14.4837
544.804,14.474
545.804,14.4644
546.804,14.4546
547.804,14.4458
548.803,14.4364
549.804,14.4237
550.804,14.4158
551.804,14.407
552.804,14.3995
553.804,14.3873
554.803,14.3795
555.803,14.3708
556.804,14.3607
557.803,14.3525
558.804,14.3427
559.804,14.3338
560.804,14.3252
561.803,14.3159
562.804,14.3062
563.804,14.2978
564.804,14.2892
565.804,14.2801
566.804,14.2712
567.804,14.264
568.804,14.2555
569.804,14.2458
570.804,14.2372
571.804,14.2289
572.803,14.2202
573.803,14.2129
574.804,14.2035
575.803,14.1953
576.804,14.1859
577.804,14.1773
578.804,14.169
579.804,14.1599
580.804,14.1517
581.803,14.1443
