1/t,lnp,et,ep
0.003215848,9.5670903,2.58542E-06,0.00933184
0.003226223,9.530114173,2.60213E-06,0.009683354
0.003236979,9.475794076,2.61951E-06,0.010223903
0.003247175,9.423321647,2.63604E-06,0.010774701
0.003257753,9.368170383,2.65324E-06,0.011385631
0.003267333,9.302044204,2.66887E-06,0.01216397
0.003279011,9.250373115,2.68798E-06,0.012809018
0.003288825,9.191819806,2.70409E-06,0.013581421
0.003300003,9.138544521,2.72251E-06,0.014324595
0.003311039,9.095966222,2.74074E-06,0.014947683
0.003322259,9.030171307,2.75935E-06,0.01596424
0.003332778,8.983605678,2.77685E-06,0.016725205
0.003343587,8.903730208,2.79489E-06,0.018115942
0.003355254,8.853008833,2.81443E-06,0.01905851
0.00336621,8.768541128,2.83284E-06,0.020738283
0.003377351,8.720756265,2.85163E-06,0.021753317
