1/t,lnp,et,ep
0.003376553,8.696982308,2.85028E-06,0.022276676
0.00336519,8.768748489,2.83113E-06,0.020733983
0.003354354,8.835513433,2.81292E-06,0.01939488
0.00334314,8.897004744,2.79415E-06,0.018238191
0.00333189,8.959226614,2.77537E-06,0.017137961
0.003320825,9.012941994,2.75697E-06,0.016241676
0.003309834,9.074206524,2.73875E-06,0.015276505
0.003298697,9.131212161,2.72035E-06,0.014430014
0.003287851,9.191412281,2.70249E-06,0.013586957
0.003276969,9.241366363,2.68463E-06,0.012924906
0.003266266,9.303624271,2.66712E-06,0.012144766
0.00325595,9.357064882,2.6503E-06,0.011512779
0.003234676,9.464484065,2.61578E-06,0.010340192
0.003213368,9.568861779,2.58143E-06,0.009315324
0.003198362,9.632118622,2.55738E-06,0.008744316
